"","CL","k1","V1","V2","V3","Q2","Q3","kout","k12","k21","k13","k31","VF"
"1",0.0362643261344884,0.16667,7.46541471147778,14.2888023565077,4.58875627217426,0.0212779521445752,0.00180244130300841,0.00485764388664616,0.00285020363461673,0.00148913475137294,0.000241438871471832,0.000392795170651844,7.46541471147778
"2",0.0422403388890365,0.16667,4.55667520441872,8.04916103988275,6.64798650885874,0.0307831013319813,0.00101295352559814,0.00926999116550482,0.00675560577636302,0.00382438631547489,0.00022230101557729,0.000152369973111156,4.55667520441872
"3",0.0402558118430081,0.16667,1.78772353633466,7.16571484313725,4.60744809514096,0.0179630689030376,0.00091359861460691,0.0225179179133838,0.0100480127592139,0.00250680766626391,0.000511040211776843,0.000198287337315942,1.78772353633466
"4",0.0493623807528103,0.16667,3.82412039005118,8.55606216627011,1.83033106231751,0.0388610863779655,0.00111657000067918,0.0129081659879828,0.0101620980550367,0.00454193595403788,0.000291980870577202,0.000610037180522637,3.82412039005118
"5",0.0421030390809172,0.16667,4.5368402568733,7.4007027637935,8.47067397912759,0.0172462417631452,0.000395608357421654,0.00928025601455357,0.00380137734340925,0.00233035190218948,8.71990934268201e-05,4.67032916620878e-05,4.5368402568733
"6",0.0440046817262286,0.16667,2.515380214407,9.98217935804282,8.67476895932073,0.0175375689795127,0.00180432524682195,0.0174942465851441,0.00697213442288572,0.0017568877847684,0.00071731710239572,0.00020799692248671,2.515380214407
"7",0.035513713843129,0.16667,5.42800794473434,9.05336996520556,9.36416804984191,0.0436991828651206,0.000606951301832585,0.00654267904629367,0.00805068513348672,0.00482684161070052,0.000111818425472531,6.4816361539222e-05,5.42800794473434
"8",0.0477380434637075,0.16667,3.96219919596798,7.43889280841578,4.57856406295917,0.0146026422192209,0.00161468381515329,0.0120483703879115,0.00368548916825809,0.00196301285625471,0.000407522119735027,0.000352661619003252,3.96219919596798
"9",0.0332178036141141,0.16667,2.95316262014441,9.59207326970765,2.71413957477217,0.0236057806091438,0.000994353215220045,0.0112482134873053,0.00799339001791562,0.00246096750362535,0.000336707910508302,0.00036636038340199,2.95316262014441
"10",0.0376065001009408,0.16667,5.25319498511407,3.20885982891483,1e-06,0.0199480387404166,0.0012854761733488,0.00715878626388435,0.00379731549979454,0.00621655036491968,0.000244703685469785,1285.4761733488,5.25319498511407
"11",0.0418476263358221,0.16667,7.3700639651263,3.82676922631271,2.9572349874142,0.0369313113272624,0.00228666717555972,0.00567805469990992,0.00501098925355521,0.00965078089196605,0.00031026422380861,0.000773245002609404,7.3700639651263
"12",0.0419078681604888,0.16667,3.11693039574806,8.5249755779319,8.77897216811278,0.0611854881465818,0.00150806027892633,0.0134452370889183,0.0196300463526704,0.00717720392126037,0.000483828667134671,0.000171780961375404,3.11693039574806
"13",0.039098591830911,0.16667,2.39494638375709,6.44740257257658,7.66627172381598,0.03806805298575,0.00171929867213554,0.0163254560085703,0.0158951587575963,0.00590440143255036,0.000717886080371609,0.000224267901539985,2.39494638375709
"14",0.0479766959138536,0.16667,3.45584947770735,11.1554736663066,5.48072563877314,0.011273971817318,0.00121864687202873,0.0138827504563891,0.00326228670838908,0.00101062242218986,0.000352633087722673,0.000222351373220996,3.45584947770735
"15",0.042163468695268,0.16667,4.03596693970675,12.1221515349061,7.13057572753298,0.01541885004436,0.000536496660852434,0.0104469311382247,0.00382036083910053,0.00127195654995411,0.000132928903746525,7.52388981412655e-05,4.03596693970675
"16",0.0407235434319673,0.16667,4.77353877336654,9.43850973537725,10.0386419270587,0.0403203828866013,0.00191914130646571,0.0085311014250434,0.00844664405190643,0.0042719013930211,0.000402037439639824,0.000191175392090912,4.77353877336654
"17",0.0373331044517,0.16667,2.786687284772,7.5828029959256,6.69511570112682,0.0317170068756339,0.00126204651647166,0.0133969479301494,0.0113816168211457,0.00418275496444733,0.000452884155092745,0.000188502570054055,2.786687284772
"18",0.0458173745069984,0.16667,5.62556510673345,15.2469344976604,11.0078780323914,0.0325004778182417,0.000666014260014494,0.0081444927998714,0.00577728231770719,0.00213160736167844,0.000118390641185064,6.05034192834169e-05,5.62556510673345
"19",0.0323827322319686,0.16667,5.88974110632591,6.90533226192616,6.28104798751129,0.0462806699331837,0.000623071771398167,0.00549815885747299,0.00785784452961365,0.00670216409257536,0.000105789330999448,9.91986962425745e-05,5.88974110632591
"20",0.0627860990388065,0.16667,3.54304727036975,11.9974615535157,3.33228483263583,0.0265219684075101,0.000929976988445032,0.0177209317989862,0.00748563775293414,0.00221063166480731,0.000262479418838795,0.000279080881483178,3.54304727036975
"21",0.0368688114779694,0.16667,3.28947054603537,7.35662756564883,2.82086736233114,0.0259941603029488,0.000472265819207963,0.011208129381917,0.0079022322708675,0.00353343431769285,0.000143568946004749,0.000167418654813208,3.28947054603537
"22",0.0482050916127504,0.16667,1.87362815513446,7.31416412274476,7.54848452317225,0.0237798120779283,0.00120575320589531,0.0257282062508774,0.0126918524429527,0.00325120022997303,0.000643539222332391,0.0001597344741443,1.87362815513446
"23",0.0434702949778348,0.16667,6.92078456006675,10.1293995594426,6.63314852870567,0.0356399494025971,0.000631835150191089,0.00628112240751727,0.00514969785481277,0.00351846614337308,9.12953068698031e-05,9.52541839605662e-05,6.92078456006675
"24",0.0482932053476208,0.16667,4.61977665641323,8.23962712472556,1e-06,0.0168151773386199,0.00101382523662981,0.0104535801055619,0.00363982473379463,0.00204076921007272,0.00021945330089116,1013.82523662981,4.61977665641323
